Cell_Identity(CI),Downlink_Traffic,LAC,Duration,RAT,Uplink_Traffic,Latency,Throughput,Offloading_Decision
11803,464,3288,2,2,585,2,524.5,Mobile Device
20723,0,43023,15,1,300,15,20,Mobile Device
11803,514,3288,1,2,559,1,1073,Mobile Device
7483,900,3287,82,2,559,87.542193,16.66624915,Edge Cloud
20723,1276,43023,2131,1,2280,2131,1.668700141,Mobile Device
45193,0,43046,0,1,60,0,1099823,Mobile Device
3553,79,2184,0,2,63,5.006833,28.36124153,Edge Cloud
1971,630,43042,7,1,986,7,230.8571429,Mobile Device
7483,2831,3287,79,2,5836,79,109.7088608,Mobile Device
3553,384,2184,26,2,1550,26,74.38461538,Mobile Device
11803,608,3288,4,2,1018,4,406.5,Mobile Device
10632,1346,43046,17,1,866,22.861708,96.75567547,Edge Cloud
7483,1210,3287,50,2,2132,50,66.84,Mobile Device
7483,0,3287,0,2,60,0,1099823,Mobile Device
10632,116,43046,0,1,68,5.004948,36.76361872,Edge Cloud
45193,0,43046,0,1,60,0,1099823,Mobile Device
1971,104,43042,5,1,100,10.499494,19.42950775,Edge Cloud
1971,104,43042,5,1,100,10.509427,19.41114392,Edge Cloud
11364,928,43044,178,1,400,183.885869,7.221870866,Edge Cloud
45193,60,43046,0,1,112,0,1099823,Mobile Device
45193,401,43046,0,1,132,5.423391,98.27799618,Edge Cloud
45193,0,43046,9,1,180,9,20,Mobile Device
45193,0,43046,9,1,180,9,20,Mobile Device
45193,1039,43046,0,1,685,5.369963,321.0450426,Edge Cloud
20723,0,43023,0,1,48,0,1099823,Mobile Device
45193,777,43046,0,1,1082,0,1099823,Mobile Device
20723,729,43023,0,1,320,38.792197,27.04152075,Edge Cloud
20723,0,43023,14,1,300,14,21.42857143,Mobile Device
20723,40,43023,0,1,52,0,1099823,Mobile Device
20723,0,43023,14,1,300,14,21.42857143,Mobile Device
20723,0,43023,6,1,240,6,40,Mobile Device
20723,7911,43023,354,1,1304,359.342738,25.64404126,Edge Cloud
45193,466,43046,3,1,996,3,487.3333333,Mobile Device
20723,402,43023,291,1,885,291,4.422680412,Mobile Device
20723,60,43023,0,1,100,0,1099823,Mobile Device
20723,60,43023,0,1,100,0,1099823,Mobile Device
20723,1891,43023,291,1,1895,291,13.01030928,Mobile Device
20723,72,43023,0,1,112,0,1099823,Mobile Device
20723,599,43023,0,1,1208,0,1099823,Mobile Device
20723,0,43023,15,1,300,15,20,Mobile Device
20723,723,43023,0,1,1031,0,1099823,Mobile Device
20723,89,43023,0,1,64,5.146996,29.72607711,Edge Cloud
20723,635,43023,0,1,1974,0,1099823,Mobile Device
20723,40,43023,0,1,40,0,1099823,Mobile Device
20723,164,43023,3,1,543,3,235.6666667,Mobile Device
20723,466,43023,1,1,1024,1,1490,Mobile Device
20723,2295,43023,9,1,2399,9,521.5555556,Mobile Device
20723,1290,43023,3,1,1161,8.33243,294.1518861,Edge Cloud
10632,52,43046,0,1,142,0,1099823,Mobile Device
20723,686,43023,2,1,2866,2,1776,Mobile Device
20723,1635,43023,20,1,4187,20,291.1,Mobile Device
3553,40,2184,0,2,40,0,1099823,Mobile Device
20723,60,43023,0,1,100,0,1099823,Mobile Device
20723,4665,43023,0,1,574,5.280096,992.2168082,Edge Cloud
45193,56,43046,0,1,144,0,1099823,Mobile Device
20723,0,43023,2,1,180,2,90,Mobile Device
3553,833,2184,222,2,1340,222,9.788288288,Mobile Device
20723,0,43023,0,1,60,0,1099823,Mobile Device
20723,164,43023,4,1,543,4,176.75,Mobile Device
20723,466,43023,3,1,1024,3,496.6666667,Mobile Device
20723,1290,43023,4,1,1097,9.500262,251.2562285,Edge Cloud
20723,2288,43023,1805,1,2717,1805,2.772853186,Mobile Device
20723,686,43023,3,1,2815,3,1167,Mobile Device
20723,0,43023,6,1,240,6,40,Mobile Device
20723,60,43023,0,1,100,0,1099823,Mobile Device
20723,60,43023,0,1,100,0,1099823,Mobile Device
20723,227,43023,0,1,462,0,1099823,Mobile Device
11364,1673,43044,182,1,924,187.550366,13.84694712,Edge Cloud
20723,0,43023,15,1,300,15,20,Mobile Device
7483,180,3287,44,2,508,44,15.63636364,Mobile Device
20723,466,43023,4,1,1024,4,372.5,Mobile Device
3553,883,2184,3,2,686,8.884515,176.5993979,Edge Cloud
11061,192,43010,0,1,156,5.085392,68.43130284,Edge Cloud
20723,0,43023,15,1,300,15,20,Mobile Device
20723,0,43023,15,1,300,15,20,Mobile Device
20723,0,43023,15,1,300,15,20,Mobile Device
20723,0,43023,15,1,300,15,20,Mobile Device
11803,531,3288,71,2,761,71,18.1971831,Mobile Device
20723,0,43023,15,1,300,15,20,Mobile Device
20723,0,43023,19,1,200,19,10.52631579,Mobile Device
20723,0,43023,20,1,364,20,18.2,Mobile Device
45193,0,43046,0,1,60,0,1099823,Mobile Device
45193,0,43046,0,1,60,0,1099823,Mobile Device
20723,0,43023,22,1,260,22,11.81818182,Mobile Device
45193,327,43046,0,1,433,0,1099823,Mobile Device
45193,327,43046,0,1,439,0,1099823,Mobile Device
45193,327,43046,0,1,436,0,1099823,Mobile Device
11364,498,43044,14517,1,202,14522.53439,0.048200953,Edge Cloud
20723,466,43023,11,1,940,11,127.8181818,Mobile Device
20723,403,43023,0,1,695,0,1099823,Mobile Device
20723,686,43023,15,1,2802,15,232.5333333,Mobile Device
45193,0,43046,3,1,120,3,40,Mobile Device
45193,52,43046,0,1,52,0,1099823,Mobile Device
45193,0,43046,3,1,120,3,40,Mobile Device
11803,180,3288,3,2,180,3,120,Mobile Device
11364,2059,43044,2855,1,2180,2855,1.484763573,Mobile Device
20723,0,43023,15,1,300,15,20,Mobile Device
20723,0,43023,0,1,60,0,1099823,Mobile Device
45193,0,43046,3,1,120,3,40,Mobile Device
1971,82,43042,0,1,82,0,1099823,Mobile Device
20723,0,43023,14,1,300,14,21.42857143,Mobile Device
20723,0,43023,0,1,60,0,1099823,Mobile Device
11803,552,3288,11,2,640,11,108.3636364,Mobile Device
11803,248,3288,7,2,404,7,93.14285714,Mobile Device
20723,0,43023,0,1,40,0,1099823,Mobile Device
20723,0,43023,0,1,52,0,1099823,Mobile Device
20723,94,43023,0,1,92,5.329332,34.90118461,Edge Cloud
